Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2	Status	NB
бронетранспортеров	бронетранспортер	S	gen,m,pl	ON	
,				OFF	
8				OFF	
вертолетов	вертолет	S	gen,m,pl	ON	
,				OFF	
а	а	CONJ		OFF	CONJ_COMPLEX
также	также	ADV		OFF	CONJ_COMPLEX
артиллерия	артиллерия	S	f,nom,sg	ON	
и	и	CONJ		ON	
танки	танк	S	m,nom,pl	ON	
.				OFF	
Несмотря	несмотря	ADV		OFF	CONJ_COMPLEX
на	на	PR		OFF	CONJ_COMPLEX
прибытие	прибытие	S	acc,n,sg	ON	
в	в	PR		ON	
на	на	PR		ON	
место	место	S	acc,n,sg	ON	
инцидента	инцидент	S	gen,m,sg	ON	
специалистов	специалист	S	gen,m,pl	ON	
из	из	PR		ON	
Бангкока	Бангкок	S	gen,m,sg	ON	
,				OFF	
лайнер	лайнер	S	acc,m,sg	ON	
пока	пока	ADV		ON	
не	не	ADV		ON	
удалось	удаться	V	n,past,sg	ON	#
вытащить	вытащить	V	inf	ON	
из	из	PR		ON	
глины	глина	S	f,gen,sg	ON	
,				OFF	
что	что	SPRO	n,nom	OFF	pro&num
не	не	ADV		ON	
позволяет	позволять	V	3p,pres,sg	ON	
возобновить	возобновить	V	inf	ON	
работу	работа	S	acc,f,sg	ON	
аэропорта	аэропорт	S	gen,m,sg	ON	
.				OFF	
Так	так	ADV		OFF	pro&num
,				OFF	
оказалось	оказаться	V	n,past,sg	ON	
полностью	полностью	ADV		ON	
отрезанным	отрезать	V	ins,n,partcp,pass,past,sg	ON	
от	от	PR		ON	
внешнего	внешний	A	gen,m,sg	ON	
мира	мир	S	gen,m,sg	ON	
местечко	местечко	S	n,nom,sg	ON	
Кирхомфельд	Кирхомфельд	S	m,nom,sg	ON	
.				OFF	
Благодаря	благодаря	PR		ON	
личности	личность	S	dat,f,sg	ON	
основателя	основатель	S	gen,m,sg	ON	
,				OFF	
монастырь	монастырь	S	m,nom,sg	ON	
скоро	скоро	ADV		ON	
приобрел	приобрести	V	m,past,sg	ON	
большую	большой	A	acc,f,sg	ON	
славу	слава	S	acc,f,sg	ON	
и	и	CONJ		ON	
стал	стать	V	m,past,sg	ON	
играть	играть	V	inf	ON	
роль	роль	S	acc,f,sg	ON	
в	в	PR		ON	
княжеских	княжеский	A	loc,pl	ON	
отношениях	отношение	S	loc,n,pl	ON	
.				OFF	
По	по	PR		ON	
его	его	APRO		OFF	pro&num
мнению	мнение	S	dat,n,sg	ON	
,				OFF	
необходимо	необходимо	ADV		ON	
усилить	усилить	V	inf	ON	
координацию	координация	S	acc,f,sg	ON	
между	между	PR		ON	
другими	другой	APRO	ins,pl	OFF	pro&num
министерствами	министерство	S	ins,n,pl	ON	
и	и	CONJ		ON	
ведомствами	ведомство	S	ins,n,pl	ON	
,				OFF	
в	в	PR		OFF	PARENTH_COMPLEX
частности	частность	S	f,loc,sg	OFF	PARENTH_COMPLEX
,				OFF	
МВД	МВД	S	gen,n,sg	ON	
,				OFF	
Минобороны	Минобороны	S	gen,n,sg	ON	
и	и	CONJ		ON	
Минздрава	Минздрав	S	gen,m,sg	ON	
с	с	PR		ON	
МЧС	МЧС	S	ins,n,sg	ON	
и	и	CONJ		ON	
региональными	региональный	A	ins,pl	ON	
властями	власть	S	f,ins,pl	ON	
.				OFF	
Жители	житель	S	m,nom,pl	ON	
поселка	поселок	S	gen,m,sg	ON	
Невская	Невский	A	f,nom,sg	ON	
Дубровка	Дубровка	S	f,nom,sg	ON	
могут	мочь	V	3p,pl,pres	ON	
остаться	остаться	V	inf	ON	
без	без	PR		ON	
света	свет	S	gen,m,sg	ON	
из-за	из-за	PR		ON	
того	то	SPRO	gen,n,sg	OFF	pro&num
,				OFF	
что	что	CONJ		ON	
администрация	администрация	S	f,nom,sg	ON	
Всеволжского	Всеволжский	A	gen,m,sg	ON	#
района	район	S	gen,m,sg	ON	
Ленинградской	Ленинградский	A	f,gen,sg	ON	
области	область	S	f,gen,sg	ON	
задерживает	задерживать	V	3p,pres,sg	ON	
выплату	выплата	S	acc,f,sg	ON	
долга	долг	S	gen,m,sg	ON	
за	за	PR		ON	
электроэнергию	электроэнергия	S	acc,f,sg	ON	
АО	АО	S	dat,n,sg	ON	
"				OFF	
Ленэнерго	Ленэнерго	S	nom	ON	
".				OFF	
В	в	PR		ON	
поселке	поселок	S	loc,m,sg	ON	
Видяево	Видяево	S	n,nom,sg	ON	
/				OFF	
Мурманская	Мурманский	A	f,nom,sg	ON	#
область	область	S	f,nom,sg	ON	#
/				OFF	
,				OFF	
откуда	откуда	ADV		OFF	pro&num
два	два	NUM	f,nom	OFF	pro&num
года	год	S	gen,m,sg	ON	#
назад	назад	ADV		ON	
в	в	PR		ON	
последний	последний	A	acc,m,sg	ON	
поход	поход	S	acc,m,sg	ON	
ушел	уйти	V	m,past,sg	ON	
"				OFF	
Курск	Курск	S	m,nom,sg	ON	
"				OFF	
,				OFF	
был	быть	V	m,past,sg	ON	
открыт	открыть	V	brev,m,nom,partcp,pass,past,sg	ON	
Мемориал	мемориал	S	n,nom,sg	ON	
				OFF	
морякам-подводникам	моряк-подводник	S	dat,m,pl	ON	
,				OFF	
погибшим	погибнуть	V	act,dat,partcp,past,pl	ON	
в	в	PR		ON	
океане	океан	S	loc,m,sg	ON	
.				OFF	
Руководство	руководство	S	n,nom,sg	ON	
газового	газовый	A	gen,m,sg	ON	
концерна	концерн	S	gen,m,sg	ON	
заявило	заявить	V	n,past,sg	ON	
,				OFF	
что	что	CONJ		ON	
в	в	PR		OFF	PR_COMPLEX
результате	результат	S	loc,m,sg	OFF	PR_COMPLEX
планируемой	планировать	V	f,gen,partcp,pass,pres,sg	ON	
допэмиссии	допэмиссия	S	f,gen,sg	ON	
акций	акция	S	f,gen,pl	ON	
"				OFF	
СИБУРа	СИБУР	S	gen,m,sg	ON	
"				OFF	
был	быть	V	m,past,sg	ON	
размыт	размыть	V	brev,m,nom,partcp,pass,past,sg	ON	
пакет	пакет	S	m,nom,sg	ON	
акций	акция	S	f,gen,pl	ON	
"				OFF	
Газпрома	Газпром	S	gen,m,sg	ON	
".				OFF	
Женщина	женщина	S	f,nom,sg	ON	
необыкновенной	необыкновенный	A	f,gen,sg	ON	
красоты	красота	S	f,gen,sg	ON	
,				OFF	
талантливая	талантливый	A	f,nom,sg	ON	
актриса	актриса	S	f,nom,sg	ON	
и	и	CONJ		ON	
педагог	педагог	S	m,nom,sg	ON	
она	она	SPRO	f,nom,sg	OFF	pro&num
занимает	занимать	V	3p,pres,sg	ON	
достойное	достойный	A	acc,n,sg	ON	
место	место	S	acc,n,sg	ON	
в	в	PR		ON	
прославленной	прославленный	A	f,loc,sg	ON	
галерее	галерея	S	f,loc,sg	ON	
портретов	портрет	S	gen,m,pl	ON	
,				OFF	
где	где	ADV		OFF	pro&num
пляшет	плясать	V	3p,pres,sg	ON	
сверкающая	сверкать	V	act,f,nom,partcp,pres,sg	ON	
Золушка	Золушка	S	f,nom,sg	ON	
Любови	Любовь	S	f,gen,sg	ON	
Орловой	Орлова	S	f,gen,sg	ON	
,				OFF	
где	где	ADV		OFF	pro&num
поют	петь	V	3p,pl,pres	ON	
наивные	наивный	A	nom,pl	ON	
Марьяны	Марьяна	S	f,nom,pl	ON	
и	и	CONJ		ON	
Глаши	Глаша	S	f,nom,pl	ON	
Марины	Марина	S	f,gen,sg	ON	
Ладыниной	Ладынина	S	f,gen,sg	ON	
,				OFF	
где	где	ADV		OFF	pro&num
страдает	страдать	V	3p,pres,sg	ON	
великая	великий	A	f,nom,sg	ON	
Вера	Вера	S	f,nom,sg	ON	
Марецкая	Марецкая	S	f,nom,sg	ON	
.				OFF	
Между	между	PR		OFF	PARENTH_COMPLEX
тем	то	SPRO	ins,n,sg	OFF	PARENTH_COMPLEX
в	в	PR		ON	
этом	этот	APRO	loc,m,sg	OFF	pro&num
же	же	ADV		ON	
районе	район	S	loc,m,sg	ON	
"				OFF	
всплыла	всплыть	V	f,past,sg	ON	
"				OFF	
еще	еще	ADV		ON	
одна	один	NUM	f,nom,sg	OFF	pro&num
поддельная	поддельный	A	f,nom,sg	ON	
пятисотрублевка	пятисотрублевка	S	f,nom,sg	ON	
.				OFF	
В	в	PR		ON	
минувший	минувший	A	acc,m,sg	ON	
четверг	четверг	S	acc,m,sg	ON	
суд	суд	S	m,nom,sg	ON	
по	по	PR		ON	
ходатайству	ходатайство	S	dat,n,sg	ON	
защиты	защита	S	f,gen,sg	ON	
изменил	изменить	V	m,past,sg	ON	
меру	мера	S	acc,f,sg	ON	
пресечения	пресечение	S	gen,n,sg	ON	
другому	другой	APRO	dat,m,sg	OFF	pro&num
обвиняемому	обвиняемый	S	dat,m,sg	ON	#
по	по	PR		ON	
этому	этот	APRO	dat,n,sg	OFF	pro&num
делу	дело	S	dat,n,sg	ON	
-				OFF	
бывшему	бывший	A	dat,m,sg	ON	
вице-президенту	вице-президент	S	dat,m,sg	ON	
компании	компания	S	f,gen,sg	ON	
Евгению	Евгений	S	dat,m,sg	ON	
Кощицу	Кошиц	S	dat,m,sg	ON	
.				OFF	
Санитарной	санитарный	A	dat,f,sg	ON	
обработке	обработка	S	dat,f,sg	ON	
будут	быть	V	3p,pl,pres	ON	
подвергнуты	подвергнуть	V	brev,nom,partcp,pass,past,pl	ON	
территории	территория	S	f,nom,pl	ON	
двенадцати	двенадцать	NUM	gen	OFF	pro&num
баз	база	S	f,gen,sg	ON	
отдыха	отдых	S	gen,m,sg	ON	
,				OFF	
расположенных	расположить	V	gen,partcp,pass,past,pl	ON	
в	в	PR		ON	
районе	район	S	loc,m,sg	ON	
поселка	поселок	S	gen,m,sg	ON	
.				OFF	
В	в	PR		OFF	ADV_COMPLEX
то	тот	APRO	acc,n,sg	OFF	ADV_COMPLEX
же	же	ADV		OFF	ADV_COMPLEX
время	время	S	acc,n,sg	OFF	ADV_COMPLEX
				OFF	
санитарно-эпидемиологическая	санитарно-эпидемиологический	A	f,nom,sg	ON	#
служба	служба	S	f,nom,sg	ON	
Краснодарского	краснодарский	A	gen,m,sg	ON	
края	край	S	gen,m,sg	ON	
настаивает	настаивать	V	3p,pres,sg	ON	
на	на	PR		ON	
закрытии	закрытие	S	loc,n,sg	ON	
оздоровительных	оздоровительный	A	gen,pl	ON	
лагерей	лагерь	S	gen,m,pl	ON	
в	в	PR		ON	
поселках	поселок	S	loc,m,pl	ON	
Южная	южный	A	f,nom,sg	ON	
Озереевка	Озереевка	S	f,nom,sg	ON	
и	и	CONJ		ON	
Широкая	широкий	A	f,nom,sg	ON	
Балка	балка	S	f,nom,sg	ON	
,				OFF	
где	где	ADV		OFF	pro&num
в	в	PR		OFF	ADV_COMPLEX
настоящее	настоящий	A	acc,n,sg	OFF	ADV_COMPLEX
время	время	S	acc,n,sg	OFF	ADV_COMPLEX
находятся	находиться	V	3p,pl,pres	ON	
1				OFF	
тыс	тыс	S	nom	OFF	abbrev
470				OFF	
детей	ребенок	S	gen,m,pl	ON	
,				OFF	
прибывших	прибыть	V	act,gen,partcp,past,pl	ON	#
на	на	PR		ON	
отдых	отдых	S	acc,m,sg	ON	
.				OFF	
В	в	PR		ON	
июле	июль	S	loc,m,sg	ON	
на	на	PR		ON	
автодорогах	автодорога	S	f,loc,pl	ON	
Франции	Франция	S	f,gen,sg	ON	
погибло	погибнуть	V	n,past,sg	ON	#
665				OFF	
человек	человек	S	gen,m,pl	ON	
.				OFF	
При	при	PR		ON	
нападении	нападение	S	loc,n,sg	ON	
на	на	PR		ON	
ювелирный	ювелирный	A	acc,m,sg	ON	
магазин	магазин	S	acc,m,sg	ON	
из	из	PR		ON	
пистолета	пистолет	S	gen,m,sg	ON	
был	быть	V	m,past,sg	ON	
тяжело	тяжело	ADV		ON	
ранен	ранить	V	brev,m,nom,partcp,pass,past,sg	ON	
охранник	охранник	S	m,nom,sg	ON	
,				OFF	
а	а	CONJ		ON	
при	при	PR		ON	
ограблении	ограбление	S	loc,n,sg	ON	
магазина	магазин	S	gen,m,sg	ON	
компьютерной	компьютерный	A	f,gen,sg	ON	
техники	техника	S	f,gen,sg	ON	
-				OFF	
двое	двое	NUM	nom	OFF	pro&num
контролеров	контролер	S	gen,m,pl	ON	
-				OFF	
администраторов	администратор	S	gen,m,pl	ON	
.				OFF	
Спецпредставитель	спецпредставитель	S	m,nom,sg	ON	
МИД	МИД	S	gen,n,sg	ON	
РФ	РФ	S	f,gen,sg	ON	
считает	считать	V	3p,pres,sg	ON	
,				OFF	
что	что	CONJ		ON	
,				OFF	
нагнетая	нагнетать	V	ger,pres	ON	
атмосферу	атмосфера	S	acc,f,sg	ON	
конфронтации	конфронтация	S	f,gen,sg	ON	
,				OFF	
Тбилиси	Тбилиси	S	m,nom,sg	ON	
Абхазию	Абхазия	S	acc,f,sg	ON	
не	не	ADV		ON	
вернет	вернуть	V	3p,pres,sg	ON	
2002/08/12/				OFF	
Если	если	CONJ		ON	
Тбилиси	тбилиси	S	m,nom,sg	ON	
будет	быть	V	3p,pres,sg	ON	
нагнетать	нагнетать	V	inf	ON	
атмосферу	атмосфера	S	acc,f,sg	ON	
конфронтации	конфронтация	S	f,gen,sg	ON	
,"				OFF	
то	то	CONJ		ON	
совершенно	совершенно	ADV		ON	
ясно	ясно	ADV		ON	
,				OFF	
что	что	CONJ		ON	
таким	такой	APRO	ins,m,sg	OFF	pro&num
методом	метод	S	ins,m,sg	ON	
Абхазию	Абхазия	S	acc,f,sg	ON	
Грузии	Грузия	S	dat,f,sg	ON	
не	не	ADV		ON	
вернуть	вернуть	V	inf	ON	
".				OFF	
А	а	CONJ		ON	
7				OFF	
апреля	апрель	S	gen,m,sg	ON	
началась	начаться	V	f,past,sg	ON	
серия	серия	S	f,nom,sg	ON	
				OFF	
диверсионно-террористических	диверсионно-террористический	A	gen,pl	ON	
актов	акт	S	gen,m,pl	ON	
со	со	PR		OFF	PR_COMPLEX
стороны	сторона	S	f,gen,sg	OFF	PR_COMPLEX
групп	группа	S	f,gen,pl	ON	
,				OFF	
приходивших	приходить	V	act,gen,partcp,past,pl	ON	
с	с	PR		ON	
территории	территория	S	f,gen,sg	ON	
Грузии	Грузия	S	f,gen,sg	ON	
.				OFF	
Компания	компания	S	f,nom,sg	ON	
"				OFF	
Сибнефть	Сибнефть	S	f,nom,sg	ON	
"				OFF	
,				OFF	
получив	получить	V	ger,past	ON	
37				OFF	
-				OFF	
процентный	процентный	A	acc,m,sg	ON	
пакет	пакет	S	acc,m,sg	ON	
акций	акция	S	f,gen,pl	ON	
завода	завод	S	gen,m,sg	ON	
,				OFF	
стремится	стремиться	V	3p,pres,sg	ON	
"				OFF	
влиять	влиять	V	inf	ON	
на	на	PR		ON	
ситуацию	ситуация	S	acc,f,sg	ON	
на	на	PR		ON	
рынке	рынок	S	loc,m,sg	ON	
Москвы	Москва	S	f,gen,sg	ON	
".				OFF	
Как	как	CONJ		ON	
сообщили	сообщить	V	past,pl	ON	#
РИА	РИА	S	n,nom,sg	ON	
"				OFF	
Новости	Новость	S	f,nom,pl	ON	
"				OFF	
в	в	PR		ON	
понедельник	понедельник	S	acc,m,sg	ON	
в	в	PR		ON	
суде	суд	S	loc,m,sg	ON	
,				OFF	
19				OFF	
-				OFF	
летние	летний	A	nom,pl	ON	
подсудимые	подсудимый	S	m,nom,pl	ON	
из	из	PR		ON	
города	город	S	gen,m,sg	ON	
Долгопрудный	Долгопрудный	S	m,nom,sg	ON	
были	быть	V	past,pl	ON	
признаны	признать	V	brev,nom,partcp,pass,past,pl	ON	
виновными	виновный	A	ins,pl	ON	
в	в	PR		ON	
"				OFF	
бандитизме	бандитизм	S	loc,m,sg	ON	
"				OFF	
/				OFF	
ст	статья	S	f,nom,sg	OFF	abbrev
209				OFF	
УК	УК	S	gen,m,sg	ON	
РФ	РФ	S	f,gen,sg	ON	
)/				OFF	
и	и	CONJ		ON	
"				OFF	
разбое	разбой	S	loc,m,sg	ON	
"				OFF	
/				OFF	
ст	статья	S	f,nom,sg	OFF	abbrev
.				OFF	
162				OFF	
УК	УК	S	gen,m,sg	ON	
РФ	РФ	S	f,gen,sg	ON	
/				OFF	
.				OFF	
В	в	PR		ON	
экономической	экономический	A	f,loc,sg	ON	
столице	столица	S	f,loc,sg	ON	
Танзании	Танзания	S	f,gen,sg	ON	
Дар-эс-Саламе	Дар-эс-Салам	S	loc,m,sg	ON	
начались	начаться	V	past,pl	ON	
переговоры	переговоры	S	nom,pl	ON	
между	между	PR		ON	
правительством	правительство	S	ins,n,sg	ON	
Бурунди	Бурунди	S	f,gen,sg	ON	
и	и	CONJ		ON	
представителями	представитель	S	ins,m,pl	ON	
самой	самый	APRO	f,gen,sg	OFF	pro&num
значительной	значительный	A	f,gen,sg	ON	
организации	организация	S	f,gen,sg	ON	
вооруженной	вооруженный	A	f,gen,sg	ON	
оппозиции	оппозиция	S	f,gen,sg	ON	
-				OFF	
Сил	сила	S	f,gen,pl	ON	
в	в	PR		ON	
защиту	защита	S	acc,f,sg	ON	
демократии	демократия	S	f,gen,sg	ON	
(				OFF	
ФДД	ФДД	S	gen,n,sg	ON	
).				OFF	
Как	как	CONJ		ON	
передает	передавать	V	3p,pres,sg	ON	
корреспондент	корреспондент	S	m,nom,sg	ON	
РИА	РИА	S	gen,n,sg	ON	
"				OFF	
Новости	новость	S	f,nom,pl	ON	
"				OFF	
,				OFF	
открывая	открывать	V	ger,pres	ON	
сегодняшнюю	сегодняшний	A	acc,f,sg	ON	
встречу	встреча	S	acc,f,sg	ON	
,				OFF	
президент	президент	S	m,nom,sg	ON	
Танзании	Танзания	S	f,gen,sg	ON	
Бенджамин	Бенджамин	S	m,nom,sg	ON	
Мкапа	Мкапа	S	m,nom,sg	ON	
призвал	призвать	V	m,past,sg	ON	
ее	ее	APRO		OFF	pro&num
участников	участник	S	acc,m,pl	ON	
в	в	PR		OFF	PR_COMPLEX
качестве	качество	S	loc,n,sg	OFF	PR_COMPLEX
"				OFF	
жеста	жест	S	gen,m,sg	ON	
доброй	добрый	A	f,gen,sg	ON	
воли	воля	S	f,gen,sg	ON	
и	и	CONJ		ON	
доказательства	доказательство	S	gen,n,sg	ON	
приверженности	приверженность	S	f,gen,sg	ON	
обеих	оба	NUM	f,gen	OFF	pro&num
сторон	сторона	S	f,gen,pl	ON	
миротворческому	миротворческий	A	dat,m,sg	ON	
процессу	процесс	S	dat,m,sg	ON	
"				OFF	
объявить	объявить	V	inf	ON	
мораторий	мораторий	S	acc,m,sg	ON	
на	на	PR		ON	
военные	военный	A	acc,pl	ON	
действия	действие	S	acc,n,pl	ON	
на	на	PR		ON	
весь	весь	APRO	acc,m,sg	OFF	pro&num
срок	срок	S	acc,m,sg	ON	
переговоров	переговоры	S	gen,pl	ON	
.				OFF	
Российскую	российский	A	acc,f,sg	ON	
делегацию	делегация	S	acc,f,sg	ON	
возглавляет	возглавлять	V	3p,pres,sg	ON	
заместитель	заместитель	S	m,nom,sg	ON	
научно-технической	научно-технический	A	f,gen,sg	ON	
комиссии	комиссия	S	f,gen,sg	ON	
МАК	МАК	S	m,nom,sg	ON	
Сергей	Сергей	S	m,nom,sg	ON	
Зайко	Зайко	S	m,nom,sg	ON	
.				OFF	
Об	об	PR		ON	
этом	это	SPRO	loc,n,sg	OFF	pro&num
корреспонденту	корреспондент	S	dat,m,sg	ON	
РИА	РИА	S	gen,n,sg	ON	
"				OFF	
Новости	новость	S	f,nom,pl	ON	
"				OFF	
сообщил	сообщить	V	m,past,sg	ON	
пресс-секретарь	пресс-секретарь	S	m,nom,sg	ON	
межгосударственного	межгосударственный	A	gen,m,sg	ON	
авиационного	авиационный	A	gen,m,sg	ON	
комитета	комитет	S	gen,m,sg	ON	
/				OFF	
МАК	МАК	S	m,nom,sg	ON	
/				OFF	
Олег	Олег	S	m,nom,sg	ON	
Ермолов	Ермолов	S	m,nom,sg	ON	
.>				OFF	
Российские	российский	A	nom,pl	ON	
специалисты	специалист	S	m,nom,pl	ON	
проведут	провести	V	3p,pl,pres	ON	
исследования	исследование	S	acc,n,pl	ON	
в	в	PR		ON	
США	США	S	loc,m,pl	ON	
бортовой	бортовой	A	f,gen,sg	ON	
системы	система	S	f,gen,sg	ON	
"				OFF	
Текас	Текас	S	m,nom,sg	ON	
"				OFF	
,				OFF	
устанавливаемой	устанавливать	V	f,gen,partcp,pass,pres,sg	ON	
на	на	PR		ON	
самолетах	самолет	S	loc,m,pl	ON	
"				OFF	
Боинг	Боинг	S	m,nom,sg	ON	
"				OFF	
для	для	PR		ON	
предотвращения	предотвращение	S	gen,n,sg	ON	
столкновений	столкновение	S	gen,n,pl	ON	
в	в	PR		ON	
воздухе	воздух	S	loc,m,sg	ON	
и	и	CONJ		ON	
с	с	PR		ON	
землей	земля	S	f,ins,sg	ON	
.				OFF	
Вместе	вместе	ADV		OFF	PARENTH_COMPLEX
с	с	PR		OFF	PARENTH_COMPLEX
тем	то	SPRO	ins,n,sg	OFF	PARENTH_COMPLEX
,				OFF	
Ермолов	Ермолов	S	m,nom,sg	ON	
отметил	отметить	V	m,past,sg	ON	
,				OFF	
что	что	CONJ		ON	
работа	работа	S	f,nom,sg	ON	
германской	германский	A	f,gen,sg	ON	
комиссии	комиссия	S	f,gen,sg	ON	
по	по	PR		ON	
расследованию	расследование	S	dat,n,sg	ON	
причин	причина	S	f,gen,pl	ON	
этого	этот	APRO	gen,n,sg	OFF	pro&num
авиапроисшествия	авиапроисшествие	S	gen,n,sg	ON	
ведется	вестись	V	3p,pres,sg	ON	
по	по	PR		ON	
плану	план	S	dat,m,sg	ON	
.				OFF	
